47.93.90.175 - - [06/May/2018:01:10:38 +0800] "GET / HTTP/1.1" 200 6751
221.4.34.2 - - [06/May/2018:02:14:38 +0800] "GET /images/ji.jpg HTTP/1.1" 304 -
221.4.34.2 - - [06/May/2018:02:14:38 +0800] "GET / HTTP/1.1" 304 -
221.4.34.2 - - [06/May/2018:02:14:38 +0800] "GET /css/index.css HTTP/1.1" 304 -
221.4.34.2 - - [06/May/2018:02:15:11 +0800] "GET / HTTP/1.1" 304 -
221.4.34.2 - - [06/May/2018:02:15:30 +0800] "GET / HTTP/1.1" 200 6751
221.4.34.2 - - [06/May/2018:02:15:31 +0800] "GET /css/index.css HTTP/1.1" 304 -
221.4.34.2 - - [06/May/2018:02:15:31 +0800] "GET /images/logo.png HTTP/1.1" 304 -
221.4.34.2 - - [06/May/2018:02:15:31 +0800] "GET /images/ji.jpg HTTP/1.1" 304 -
221.4.34.2 - - [06/May/2018:02:15:31 +0800] "GET /images/bg2.gif HTTP/1.1" 404 1092
221.4.34.2 - - [06/May/2018:02:15:31 +0800] "GET /images/bg.png HTTP/1.1" 404 1091
221.4.34.2 - - [06/May/2018:02:15:31 +0800] "GET /images/chatroombg.gif HTTP/1.1" 404 1099
221.4.34.2 - - [06/May/2018:02:15:32 +0800] "GET /images/talk.png HTTP/1.1" 404 1093
221.4.34.2 - - [06/May/2018:02:15:37 +0800] "GET /images/talk.png HTTP/1.1" 404 1093
221.4.34.2 - - [06/May/2018:02:15:37 +0800] "GET /images/loader3.gif HTTP/1.1" 404 1096
221.4.34.2 - - [06/May/2018:02:15:37 +0800] "POST /Serv1 HTTP/1.1" 500 1690
221.4.34.2 - - [06/May/2018:02:15:51 +0800] "POST /Serv1 HTTP/1.1" 500 1690
221.4.34.2 - - [06/May/2018:02:17:40 +0800] "GET / HTTP/1.1" 304 -
221.4.34.2 - - [06/May/2018:02:17:41 +0800] "GET /images/chatroombg.gif HTTP/1.1" 404 1099
221.4.34.2 - - [06/May/2018:02:17:41 +0800] "GET /images/bg2.gif HTTP/1.1" 404 1092
221.4.34.2 - - [06/May/2018:02:17:41 +0800] "GET /images/bg.png HTTP/1.1" 404 1091
221.4.34.2 - - [06/May/2018:02:17:41 +0800] "GET /images/talk.png HTTP/1.1" 404 1093
221.4.34.2 - - [06/May/2018:02:17:45 +0800] "GET /images/loader3.gif HTTP/1.1" 404 1096
221.4.34.2 - - [06/May/2018:02:17:45 +0800] "GET /images/talk.png HTTP/1.1" 404 1093
221.4.34.2 - - [06/May/2018:02:17:45 +0800] "POST /Serv1 HTTP/1.1" 500 1690
221.4.34.2 - - [06/May/2018:02:18:42 +0800] "GET /images/talk.png HTTP/1.1" 404 1093
221.4.34.2 - - [06/May/2018:02:18:42 +0800] "GET /images/loader3.gif HTTP/1.1" 404 1096
221.4.34.2 - - [06/May/2018:02:18:42 +0800] "POST /Serv1 HTTP/1.1" 500 1690
221.4.34.2 - - [06/May/2018:02:22:10 +0800] "POST /Serv1 HTTP/1.1" 500 1690
221.4.34.2 - - [06/May/2018:02:22:36 +0800] "GET / HTTP/1.1" 304 -
